Lat,Lon,Date,Vendor_Count,Stall_Count,Image_File,Nighttime_Radiance
-23.571999999999992,-46.60000000000006,2024-04,0,1,sp_macro_images/macro_-23.57200_-46.60000_2024-04.jpg,58.94
-23.571999999999992,-46.59600000000006,2024-04,0,0,sp_macro_images/macro_-23.57200_-46.59600_2024-04.jpg,55.79
-23.571999999999992,-46.59200000000006,2024-01,0,3,sp_macro_images/macro_-23.57200_-46.59200_2024-01.jpg,79.83
-23.571999999999992,-46.58400000000007,2024-04,0,0,sp_macro_images/macro_-23.57200_-46.58400_2024-04.jpg,70.86
-23.571999999999992,-46.58000000000007,2024-01,0,1,sp_macro_images/macro_-23.57200_-46.58000_2024-01.jpg,62.44
-23.571999999999992,-46.57600000000007,2023-03,0,0,sp_macro_images/macro_-23.57200_-46.57600_2023-03.jpg,55.83
-23.571999999999992,-46.57200000000008,2024-12,0,0,sp_macro_images/macro_-23.57200_-46.57200_2024-12.jpg,59.38
-23.571999999999992,-46.56800000000008,2024-04,0,0,sp_macro_images/macro_-23.57200_-46.56800_2024-04.jpg,66.82
-23.571999999999992,-46.56400000000008,2024-04,0,0,sp_macro_images/macro_-23.57200_-46.56400_2024-04.jpg,66.37
-23.571999999999992,-46.56000000000008,2023-03,0,5,sp_macro_images/macro_-23.57200_-46.56000_2023-03.jpg,68.43
-23.571999999999992,-46.55600000000008,2023-03,1,0,sp_macro_images/macro_-23.57200_-46.55600_2023-03.jpg,67.2
-23.56799999999999,-46.7,2023-12,0,1,sp_macro_images/macro_-23.56800_-46.70000_2023-12.jpg,131.78
-23.56799999999999,-46.696000000000005,2023-06,0,0,sp_macro_images/macro_-23.56800_-46.69600_2023-06.jpg,216.52
-23.56799999999999,-46.69200000000001,2023-03,0,0,sp_macro_images/macro_-23.56800_-46.69200_2023-03.jpg,186.82
-23.56799999999999,-46.68400000000001,2024-04,0,0,sp_macro_images/macro_-23.56800_-46.68400_2024-04.jpg,90.17
-23.56799999999999,-46.680000000000014,2023-12,0,1,sp_macro_images/macro_-23.56800_-46.68000_2023-12.jpg,105.22
-23.56799999999999,-46.676000000000016,2024-07,0,3,sp_macro_images/macro_-23.56800_-46.67600_2024-07.jpg,93.35
-23.56799999999999,-46.67200000000002,2024-04,0,1,sp_macro_images/macro_-23.56800_-46.67200_2024-04.jpg,95.1
-23.56799999999999,-46.66800000000002,2023-12,0,0,sp_macro_images/macro_-23.56800_-46.66800_2023-12.jpg,92.55
-23.56799999999999,-46.660000000000025,2024-01,0,1,sp_macro_images/macro_-23.56800_-46.66000_2024-01.jpg,93.97
-23.56799999999999,-46.65600000000003,2024-04,0,1,sp_macro_images/macro_-23.56800_-46.65600_2024-04.jpg,127.19
-23.56799999999999,-46.644000000000034,2024-07,0,1,sp_macro_images/macro_-23.56800_-46.64400_2024-07.jpg,109.58
-23.56799999999999,-46.64000000000004,2024-11,1,0,sp_macro_images/macro_-23.56800_-46.64000_2024-11.jpg,105.05
